# source_api_id	status	crystal_refs	notes
src/dfa/sparse.rs::func::to_bytes_native_endian	missing	-	baseline
src/dfa/sparse.rs::func::to_owned	missing	-	baseline
src/dfa/sparse.rs::func::write_to_big_endian	missing	-	baseline
src/dfa/sparse.rs::func::write_to_len	missing	-	baseline
src/dfa/sparse.rs::func::write_to_little_endian	missing	-	baseline
src/dfa/sparse.rs::func::write_to_native_endian	missing	-	baseline
src/dfa/sparse.rs::method::DFA.always_match	missing	-	baseline
src/dfa/sparse.rs::method::DFA.from_bytes	missing	-	baseline
src/dfa/sparse.rs::method::DFA.new	missing	-	baseline
src/dfa/sparse.rs::method::DFA.set_prefilter	missing	-	baseline
src/dfa/sparse.rs::struct::DFA	missing	-	baseline
src/dfa/start.rs::enum::StartKind	missing	-	baseline
src/hybrid/dfa.rs::func::always_match	missing	-	baseline
src/hybrid/dfa.rs::func::build	missing	-	baseline
src/hybrid/dfa.rs::func::build_from_nfa	missing	-	baseline
src/hybrid/dfa.rs::func::builder	missing	-	baseline
src/hybrid/dfa.rs::func::byte_classes	missing	-	baseline
src/hybrid/dfa.rs::func::cache_capacity	missing	-	baseline
src/hybrid/dfa.rs::func::clear_count	missing	-	baseline
src/hybrid/dfa.rs::func::config	missing	-	baseline
src/hybrid/dfa.rs::func::configure	missing	-	baseline
src/hybrid/dfa.rs::func::create_cache	missing	-	baseline
src/hybrid/dfa.rs::func::get_byte_classes	missing	-	baseline
src/hybrid/dfa.rs::func::get_cache_capacity	missing	-	baseline
src/hybrid/dfa.rs::func::get_config	missing	-	baseline
src/hybrid/dfa.rs::func::get_match	missing	-	baseline
src/hybrid/dfa.rs::func::get_match_kind	missing	-	baseline
src/hybrid/dfa.rs::func::get_minimum_bytes_per_state	missing	-	baseline
src/hybrid/dfa.rs::func::get_minimum_cache_capacity	missing	-	baseline
src/hybrid/dfa.rs::func::get_minimum_cache_clear_count	missing	-	baseline
src/hybrid/dfa.rs::func::get_nfa	missing	-	baseline
src/hybrid/dfa.rs::func::get_prefilter	missing	-	baseline
src/hybrid/dfa.rs::func::get_quit	missing	-	baseline
src/hybrid/dfa.rs::func::get_skip_cache_capacity_check	missing	-	baseline
src/hybrid/dfa.rs::func::get_specialize_start_states	missing	-	baseline
src/hybrid/dfa.rs::func::get_starts_for_each_pattern	missing	-	baseline
src/hybrid/dfa.rs::func::get_unicode_word_boundary	missing	-	baseline
src/hybrid/dfa.rs::func::match_kind	missing	-	baseline
src/hybrid/dfa.rs::func::match_len	missing	-	baseline
src/hybrid/dfa.rs::func::match_pattern	missing	-	baseline
src/hybrid/dfa.rs::func::memory_usage	missing	-	baseline
src/hybrid/dfa.rs::func::minimum_bytes_per_state	missing	-	baseline
src/hybrid/dfa.rs::func::minimum_cache_clear_count	missing	-	baseline
src/hybrid/dfa.rs::func::never_match	missing	-	baseline
src/hybrid/dfa.rs::func::new	missing	-	baseline
src/hybrid/dfa.rs::func::next_eoi_state	missing	-	baseline
src/hybrid/dfa.rs::func::next_state	missing	-	baseline
src/hybrid/dfa.rs::func::next_state_untagged	missing	-	baseline
src/hybrid/dfa.rs::func::pattern_len	missing	-	baseline
src/hybrid/dfa.rs::func::prefilter	missing	-	baseline
src/hybrid/dfa.rs::func::quit	missing	-	baseline
src/hybrid/dfa.rs::func::reset	missing	-	baseline
src/hybrid/dfa.rs::func::reset_cache	missing	-	baseline
src/hybrid/dfa.rs::func::search_finish	missing	-	baseline
src/hybrid/dfa.rs::func::search_start	missing	-	baseline
src/hybrid/dfa.rs::func::search_total_len	missing	-	baseline
src/hybrid/dfa.rs::func::search_update	missing	-	baseline
src/hybrid/dfa.rs::func::skip_cache_capacity_check	missing	-	baseline
src/hybrid/dfa.rs::func::specialize_start_states	missing	-	baseline
src/hybrid/dfa.rs::func::start	missing	-	baseline
src/hybrid/dfa.rs::func::start_state	missing	-	baseline
src/hybrid/dfa.rs::func::start_state_forward	missing	-	baseline
src/hybrid/dfa.rs::func::start_state_reverse	missing	-	baseline
src/hybrid/dfa.rs::func::starts_for_each_pattern	missing	-	baseline
src/hybrid/dfa.rs::func::syntax	missing	-	baseline
src/hybrid/dfa.rs::func::thompson	missing	-	baseline
src/hybrid/dfa.rs::func::try_search_fwd	missing	-	baseline
src/hybrid/dfa.rs::func::try_search_overlapping_fwd	missing	-	baseline
src/hybrid/dfa.rs::func::try_search_overlapping_rev	missing	-	baseline
src/hybrid/dfa.rs::func::try_search_rev	missing	-	baseline
src/hybrid/dfa.rs::func::try_which_overlapping_matches	missing	-	baseline
src/hybrid/dfa.rs::func::unicode_word_boundary	missing	-	baseline
src/hybrid/dfa.rs::method::Builder.new	missing	-	baseline
src/hybrid/dfa.rs::method::Cache.new	missing	-	baseline
src/hybrid/dfa.rs::method::Config.new	missing	-	baseline
src/hybrid/dfa.rs::method::DFA.new	missing	-	baseline
src/hybrid/dfa.rs::method::DFA.next_state	missing	-	baseline
src/hybrid/dfa.rs::method::DFA.try_search_fwd	missing	-	baseline
src/hybrid/dfa.rs::method::OverlappingState.start	missing	-	baseline
src/hybrid/dfa.rs::struct::Builder	missing	-	baseline
src/hybrid/dfa.rs::struct::Cache	missing	-	baseline
src/hybrid/dfa.rs::struct::Config	missing	-	baseline
src/hybrid/dfa.rs::struct::DFA	missing	-	baseline
src/hybrid/dfa.rs::struct::OverlappingState	missing	-	baseline
src/hybrid/error.rs::enum::StartError	missing	-	baseline
src/hybrid/error.rs::struct::BuildError	missing	-	baseline
src/hybrid/error.rs::struct::CacheError	missing	-	baseline
src/hybrid/id.rs::struct::LazyStateID	missing	-	baseline
src/hybrid/regex.rs::func::as_parts	missing	-	baseline
